# Created by:        SpecsLab Prodigy, Version 4.125.2-r125285 
#
# XY-Serializer Export Settings:
#   Comment Prefix:               #
#   Output Meta Data:             yes
#   Energy Axis:                  Binding Energy
#   Count Rate:                   Counts per Second
#   Separate Scan Data:           no
#   Separate Channel Data:        no
#   Separate Non-Energy Channels: yes
#   External Channel Data:        yes
#   Transmission Function:        no
#   Error Bar:                    no
#   Operation Results:            no
#   Time Zone Format:             Local Time
#
#
# Experiment Description:       
#
# Group:                        40um exit slit, 1200l/mm
# Scan Mode:                    ConstantFinalState
# Analyzer Lens Voltage:        1.5kV
# Calibration File:             C:/ProgramData/SPECS/SpecsLab Prodigy/Database/DatasetCalib1D\actual-shifts.calib1d
# Transmission File:            Default
# Analyzer Slit:                2:7x20\B:open
# Iris Diameter:                60
#
# Source Parameters
#   Name:                         BElChem-PGM
#   Polar Angle:                  45 °
#   Azimuth Angle:                45 °
#   ex_energy:                    919.99715061451002
#   device_state:                 operating
#
# Region:                       Spectrum
# Spectrum ID:                  2
# Acquisition Date:             2025-07-22 17:41:18 UTC+2
# Analysis Method:              XPS
# Analyzer Lens Mode:           Accelerating4
# Scan Variable:                Excitation Energy
# Curves/Scan:                  1
# Values/Curve:                 801
# Step Size:                    0.05
# Dwell Time:                   0.1
# Excitation Energy:            920
# Kinetic Energy:               385
# Pass Energy:                  10
# Bias Voltage:                 200
# Detector Voltage:             2150
# Eff. Workfunction:            4.25
#
# Comment:                      5th harmonic

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0
#
# Acquisition Date:             2025-07-22 17:41:18 UTC+2
# ColumnLabels:                 energy counts/s
#
920  175860
920.05  178290
920.1  176700
920.15  179270
920.2  176310
920.25  176840
920.3  175830
920.35  172710
920.4  175740
920.45  177130
920.5  174640
920.55  174050
920.6  177140
920.65  174010
920.7  176290
920.75  171220
920.8  171410
920.85  171460
920.9  167860
920.95  168810
921  171160
921.05  170550
921.1  171430
921.15  170890
921.2  170730
921.25  169960
921.3  168870
921.35  166530
921.4  168320
921.45  166900
921.5  169640
921.55  168740
921.6  166690
921.65  168160
921.7  170610
921.75  168340
921.8  171270
921.85  170860
921.9  168530
921.95  169500
922  171100
922.05  171830
922.1  170810
922.15  170110
922.2  170840
922.25  171090
922.3  171480
922.35  171030
922.4  172780
922.45  170640
922.5  173280
922.55  171900
922.6  171840
922.65  174130
922.7  173490
922.75  174570
922.8  175440
922.85  171990
922.9  171440
922.95  173810
923  174530
923.05  174760
923.1  176100
923.15  176320
923.2  175120
923.25  174840
923.3  177020
923.35  174690
923.4  176980
923.45  173690
923.5  173030
923.55  174390
923.6  172190
923.65  174120
923.7  173810
923.75  175700
923.8  174280
923.85  174320
923.9  174340
923.95  172830
924  173750
924.05  173930
924.1  172980
924.15  172040
924.2  173310
924.25  171410
924.3  171850
924.35  170370
924.4  173070
924.45  172100
924.5  172890
924.55  172420
924.6  173510
924.65  173760
924.7  172880
924.75  172060
924.8  173530
924.85  174400
924.9  174530
924.95  175900
925  173540
925.05  173070
925.1  174880
925.15  171410
925.2  178380
925.25  175300
925.3  174780
925.35  174610
925.4  177900
925.45  179260
925.5  178970
925.55  175640
925.6  176600
925.65  177070
925.7  177950
925.75  177590
925.8  177630
925.85  177320
925.9  178640
925.95  182990
926  181030
926.05  178390
926.1  179320
926.15  180780
926.2  180860
926.25  180900
926.3  181570
926.35  179310
926.4  181200
926.45  178750
926.5  178160
926.55  183240
926.6  180900
926.65  182100
926.7  182220
926.75  185680
926.8  182240
926.85  184090
926.9  184290
926.95  187610
927  183810
927.05  183980
927.1  184000
927.15  185420
927.2  185570
927.25  186670
927.3  186690
927.35  188550
927.4  189300
927.45  187120
927.5  189730
927.55  191430
927.6  190710
927.65  190610
927.7  189850
927.75  192620
927.8  190320
927.85  194080
927.9  190880
927.95  192720
928  192290
928.05  195160
928.1  194920
928.15  193260
928.2  194910
928.25  195090
928.3  193180
928.35  193360
928.4  195280
